,Unnamed: 0,Antena,Ano,Mes,Dia,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas
25088,25088,28105,2019,3,1,25.88,-98.18,32.06042,17.69644,32.06042,17.69644,23.71472,23.71472
25095,25095,28106,2019,3,1,25.83,-98.18,32.09521,17.78967,32.09521,17.78967,23.76056,23.76056
25102,25102,28107,2019,3,1,25.77,-98.18,32.14844,17.92181,32.14844,17.92181,23.82718,23.82718
25109,25109,28108,2019,3,1,25.67,-98.13,32.2164,18.1391,32.2164,18.1391,23.92786,23.92786
25116,25116,28112,2019,3,1,22.56,-98.53,33.15204,19.99731,33.15204,19.99731,25.24561,25.24561
25123,25123,28113,2019,3,1,23.6,-97.78,26.57077,21.16177,26.57077,21.16177,23.1033,23.1033
25130,25130,28114,2019,3,1,23.0,-99.71,31.84961,15.22974,31.84961,15.22974,21.71472,21.71472
25137,25137,28115,2019,3,1,23.57,-99.86,30.00549,12.20557,30.00549,12.20557,19.55444,19.55444
25144,25144,28116,2019,3,1,23.73,-99.15,32.86557,16.37463,32.86557,16.37463,23.06778,23.06778
25151,25151,28119,2019,3,1,22.92,-98.07,31.05948,20.25873,31.05948,20.25873,24.18839,24.18839
25158,25158,28120,2019,3,1,22.99,-98.99,33.52872,18.51813,33.52872,18.51813,24.41132,24.41132
25165,25165,28121,2019,3,1,26.2,-98.55,32.34589,17.08542,32.34589,17.08542,23.56586,23.56586
25172,25172,28122,2019,3,1,24.07,-98.38,33.32889,19.58734,33.32889,19.58734,24.84802,24.84802
25179,25179,28123,2019,3,1,24.95,-98.78,33.82947,18.93762,33.82947,18.93762,25.21304,25.21304
25186,25186,28125,2019,3,1,22.5,-98.62,33.68741,19.89801,33.68741,19.89801,25.44797,25.44797
25193,25193,28127,2019,3,1,23.73,-99.13,32.95264,16.49951,32.95264,16.49951,23.18805,23.18805
25200,25200,28130,2019,3,1,22.57,-97.91,28.78296,21.26337,28.78296,21.26337,24.15445,24.15445
25207,25207,28135,2019,3,1,22.66,-98.46,32.61758,20.08469,32.61758,20.08469,25.00345,25.00345
25214,25214,28136,2019,3,1,23.03,-99.15,33.09415,17.41531,33.09415,17.41531,23.51459,23.51459
25221,25221,28137,2019,3,1,22.66,-98.69,33.89459,19.61957,33.89459,19.61957,25.35339,25.35339
